Mes,Zonal,Provincia,Sucursal,Oficina,Tipo de cuenta,Saldo,No Cuentas,No Clientes
may-16,MATRIZ,PICHINCHA,MATRIZ,MATRIZ,DPF," 298,292,310.21 ",4,2
may-16,ZONAL CUENCA,AZUAY,CUENCA,CAMILO PONCE E. (AG.),Ahorro," 881,222.16 ",3021,3012
may-16,ZONAL CUENCA,AZUAY,CUENCA,CAMILO PONCE E. (AG.),Corriente," 214,778.93 ",91,88
may-16,ZONAL CUENCA,AZUAY,CUENCA,CAMILO PONCE E. (AG.),DPF," 91,275.84 ",7,7
may-16,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,Ahorro," 4,314,317.89 ",17348,17282
may-16,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,Corriente," 2,539,437.61 ",396,367
may-16,ZONAL CUENCA,AZUAY,CUENCA,CUENCA,DPF," 1,922,639.55 ",113,96
may-16,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),Ahorro," 1,444,700.21 ",3493,3453
may-16,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),Corriente," 253,909.00 ",69,69
may-16,ZONAL CUENCA,AZUAY,CUENCA,GIRON (AG.),DPF," 1,810,807.00 ",105,84
may-16,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,Ahorro," 1,187,199.47 ",8625,8414
may-16,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,Corriente," 79,473.95 ",132,124
may-16,ZONAL CUENCA,AZUAY,CUENCA,GUALACEO,DPF," 413,601.40 ",36,26
may-16,ZONAL CUENCA,AZUAY,CUENCA,PAUTE,Ahorro," 880,080.67 ",4917,4883
may-16,ZONAL CUENCA,AZUAY,CUENCA,PAUTE,Corriente," 157,629.35 ",122,118
may-16,ZONAL CUENCA,AZUAY,CUENCA,PAUTE,DPF," 247,734.65 ",23,18
may-16,ZONAL CUENCA,AZUAY,CUENCA,SANTA ISABEL (AG.),Ahorro," 1,268,470.18 ",2522,2516
may-16,ZONAL CUENCA,AZUAY,CUENCA,SANTA ISABEL (AG.),Corriente," 255,879.01 ",84,72
may-16,ZONAL CUENCA,AZUAY,CUENCA,SANTA ISABEL (AG.),DPF," 433,000.00 ",6,5
may-16,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,Ahorro," 5,403,475.49 ",10510,10382
may-16,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,Corriente," 478,706.51 ",218,205
may-16,ZONAL CUENCA,CANAR,AZOGUES,AZOGUES,DPF," 6,934,139.70 ",344,289
may-16,ZONAL CUENCA,CANAR,AZOGUES,BIBLIAN,Ahorro," 563,439.93 ",1801,1791
may-16,ZONAL CUENCA,CANAR,AZOGUES,BIBLIAN,Corriente," 32,429.86 ",29,29
may-16,ZONAL CUENCA,CANAR,AZOGUES,BIBLIAN,DPF," 648,752.55 ",58,54
may-16,ZONAL CUENCA,CANAR,AZOGUES,CANAR (AG.),Ahorro," 3,192,117.12 ",9475,9347
may-16,ZONAL CUENCA,CANAR,AZOGUES,CANAR (AG.),Corriente," 137,183.44 ",91,73
may-16,ZONAL CUENCA,CANAR,AZOGUES,CANAR (AG.),DPF," 3,104,961.63 ",109,101
may-16,ZONAL CUENCA,CANAR,AZOGUES,LA TRONCAL (AG.),Ahorro," 1,171,550.79 ",8359,8122
may-16,ZONAL CUENCA,CANAR,AZOGUES,LA TRONCAL (AG.),Corriente," 288,913.45 ",214,211
may-16,ZONAL CUENCA,CANAR,AZOGUES,LA TRONCAL (AG.),DPF," 380,840.09 ",19,17
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,GUALAQUIZA (AG.),Ahorro," 1,210,422.42 ",7917,7894
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,GUALAQUIZA (AG.),Corriente," 203,055.04 ",237,228
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,GUALAQUIZA (AG.),DPF," 354,663.33 ",17,16
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,LIMON INDANZA (AG.),Ahorro," 1,348,721.74 ",4527,4512
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,LIMON INDANZA (AG.),Corriente," 165,288.51 ",106,96
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,LIMON INDANZA (AG.),DPF," 397,837.40 ",25,25
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,MACAS,Ahorro," 2,279,418.87 ",15112,15001
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,MACAS,Corriente," 400,966.59 ",218,209
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,MACAS,DPF," 221,350.00 ",15,15
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,MENDEZ,Ahorro," 761,175.11 ",4024,3975
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,MENDEZ,Corriente," 158,297.85 ",94,93
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,MENDEZ,DPF," 229,400.00 ",14,13
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,PABLO SEXTO (AG.),Ahorro," 176,532.65 ",2159,2141
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,PABLO SEXTO (AG.),Corriente," 2,891.05 ",10,8
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,PALORA (AG.),Ahorro," 1,152,593.27 ",3391,3320
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,PALORA (AG.),Corriente," 141,423.58 ",90,83
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,PALORA (AG.),DPF," 356,148.88 ",20,19
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,SUCUA,Ahorro," 1,236,437.18 ",6405,6335
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,SUCUA,Corriente," 151,560.90 ",133,122
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,SUCUA,DPF," 783,725.00 ",49,42
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,TAISHA,Ahorro," 167,753.48 ",1880,1871
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,TAISHA,Corriente," 2,736.91 ",18,9
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,TIWINTZA,Ahorro," 139,294.11 ",2218,2206
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,TIWINTZA,Corriente," 17,889.94 ",14,10
may-16,ZONAL CUENCA,MORONA SANTIAGO,MACAS,TIWINTZA,DPF," 2,000.00 ",4,4
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,CALUMA (AG.),Ahorro," 1,185,163.49 ",4996,4969
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,CALUMA (AG.),Corriente," 78,224.12 ",80,79
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,CALUMA (AG.),DPF," 157,673.50 ",10,10
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,CHILLANES (AG.),Ahorro," 579,325.74 ",3385,3376
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,CHILLANES (AG.),Corriente," 22,356.81 ",33,27
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,CHILLANES (AG.),DPF," 41,657.75 ",11,11
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,ECHEANDIA (AG.),Ahorro," 1,985,162.22 ",5715,5652
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,ECHEANDIA (AG.),Corriente," 807,045.27 ",114,110
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,ECHEANDIA (AG.),DPF," 327,242.31 ",32,26
may-16,ZONAL GUAYAQUIL,BOLIVAR,GUARANDA,GUARANDA,Ahorro," 5,362,074.36 ",19578,19533
