fecha, WTI
ene-15,47.22
feb-15,50.58
mar-15,47.82
abr-15,54.45
may-15,59.27
jun-15,59.82
jul-15,50.9
ago-15,42.87
sep-15,45.48
oct-15,46.22
nov-15,42.44
dic-15,37.19
ene-16,31.68
feb-16,30.32
mar-16,37.55
abr-16,40.75
may-16,46.71
jun-16,48.76
jul-16,44.65
ago-16,44.72
sep-16,45.18
oct-16,49.78
nov-16,45.66
dic-16,51.97
ene-17,52.5
feb-17,53.47
mar-17,49.33
abr-17,51.06
may-17,48.48
jun-17,45.18
jul-17,46.63
ago-17,48.04
sep-17,49.82
oct-17,51.58
nov-17,56.64
dic-17,57.88
ene-18,63.7
feb-18,62.23
mar-18,62.73
abr-18,66.25
may-18,71.23
jun-18,74.15
jul-18,68.76
ago-18,69.8
sep-18,73.25
oct-18,65.31
