Provincia,Poblacion
AZUAY," 853,070.00 "
BOLÍVAR," 206,771.00 "
CAÑAR," 272,236.00 "
CARCHI," 184,136.00 "
COTOPAXI," 476,428.00 "
CHIMBO-RAZO," 515,417.00 "
EL ORO," 698,545.00 "
ESME-RALDAS," 626,626.00 "
GUAYAS," 4,267,893.00 "
IMBABURA," 463,957.00 "
LOJA," 511,184.00 "
LOS RÍOS," 899,632.00 "
MANABÍ," 1,537,090.00 "
MORONA SANTIAGO," 188,028.00 "
NAPO," 128,252.00 "
PASTAZA," 108,365.00 "
PICHINCHA," 3,116,111.00 "
TUNGU-RAHUA," 577,551.00 "
ZAMORA CHINCHIPE," 115,368.00 "
GALÁ-PAGOS," 31,600.00 "
SUCUMBIOS," 220,483.00 "
ORELLANA," 157,520.00 "
SANTO DOMINGO," 442,788.00 "
SANTA ELENA," 384,102.00 "
ZONA NO DELIMITADA," 40,255.00 "
